"filename", "language", "YAML", "Ignore", "JSON", "JavaScript", "TypeScript React", "TypeScript", "JSON with Comments", "Properties", "XML", "Markdown", "Docker", "comment", "blank", "total"
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-footer.tsx", "TypeScript React", 0, 0, 0, 0, 376, 0, 0, 0, 0, 0, 0, 0, 12, 388
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-navbar.style.ts", "TypeScript", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 7, 136
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-navbar.tsx", "TypeScript React", 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 6, 225
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-player.style.ts", "TypeScript", 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 17, 225
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/components/video-player.tsx", "TypeScript React", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 1, 10, 134
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/main-video-page.style.ts", "TypeScript", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 5, 130
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/main-video-page.tsx", "TypeScript React", 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 11, 293
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/__tests__/media.repo.test.ts", "TypeScript", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/credits.repo.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/media-categ.repo.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/media.repo.ts", "TypeScript", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 4, 89
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/tag-label.repo.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/tag.repo.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 4, 63
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/types.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/utils/typeguards.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/video.config.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/404.tsx", "TypeScript React", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 6, 31
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/_app.tsx", "TypeScript React", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 16, 6, 39
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/_document.tsx", "TypeScript React", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 3, 33
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/_error.tsx", "TypeScript React", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 33, 17, 112
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/about/index.tsx", "TypeScript React", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 4, 36
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/api/auth/login.ts", "TypeScript", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 2, 7, 118
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/api/hello.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/api/users.ts", "TypeScript", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 43, 9, 114
